project_id,project_type,client_type,contract_type,is_design_and_build,nilai_kontrak_awal_miliar_rp,total_jam_kerja_estimasi,volume_pekerjaan_tanah_m3,volume_beton_m3,berat_baja_struktural_ton,panjang_instalasi_utama_km,jumlah_titik_akhir_instalasi,jumlah_item_pekerjaan_utama,tingkat_risiko_geoteknik,lokasi_provinsi,lokasi_urban_rural,musim_pelaksanaan,indeks_harga_komoditas_saat_mulai,jumlah_kompetitor_saat_tender,pengalaman_pm_tahun,jumlah_sdm_inti,persentase_subkontraktor,biaya_akhir_riil_miliar_rp,durasi_akhir_riil_hari,profit_margin_riil_persen,terjadi_pembengkakan_biaya_signifikan,terjadi_keterlambatan_signifikan
PJ-228,Gedung Perkantoran,Swasta Asing,Cost Plus,0,117.03,351090,0,11703,2340,0.0,2340,49,2,Sulawesi Tenggara,Sub-urban,Hujan,115.86,7,13,21,17,104.49,2849,10.71,0,0
PJ-229,Gedung Perkantoran,Swasta Asing,Lump Sum,1,258.94,776807,0,25893,5178,0.0,5178,142,1,Banten,Rural,Hujan,111.84,7,10,42,19,273.16,3721,-5.49,1,1
PJ-230,Perumahan,Swasta Asing,Lump Sum,0,69.83,279317,34914,17457,0,0.0,1745,25,1,Riau,Sub-urban,Kemarau,109.27,6,16,16,16,74.47,2975,-6.65,1,0
PJ-231,Gedung Perkantoran,BUMN,Lump Sum,1,128.28,384829,0,12827,2565,0.0,2565,67,2,Gorontalo,Rural,Kemarau,101.09,9,12,21,17,114.53,3123,10.71,0,0
PJ-232,Jalan Tol,Swasta Asing,Cost Plus,0,1521.02,3042049,4563074,304204,15210,38.03,0,768,2,Papua,Rural,Kemarau,112.57,9,4,154,38,1793.33,4440,-17.9,1,1
PJ-233,Pabrik,Pemda,Harga Satuan,0,242.54,606359,0,36381,9701,0.0,0,131,2,Kepulauan Bangka Belitung,Rural,Hujan,105.85,3,8,33,51,216.56,3132,10.71,0,0
PJ-234,Perumahan,BUMN,Cost Plus,0,191.71,766840,95855,47927,0,0.0,4792,77,3,Sumatera Selatan,Rural,Kemarau,111.49,4,23,41,30,171.17,3188,10.71,0,0
PJ-235,Pabrik,BUMN,Lump Sum,0,542.47,1356182,0,81370,21698,0.0,0,281,1,Jawa Tengah,Rural,Kemarau,103.14,4,21,68,40,484.35,3399,10.71,0,0
PJ-236,Gedung Perkantoran,Swasta Asing,Cost Plus,0,244.65,733947,0,24464,4892,0.0,4892,111,1,Lampung,Rural,Hujan,115.87,9,11,39,65,218.44,4396,10.71,0,1
PJ-237,Jembatan,Swasta Nasional,Harga Satuan,0,2939.38,5878754,8818131,587875,29393,73.48,0,1461,1,Kepulauan Riau,Urban,Hujan,110.36,4,20,297,43,2624.44,3373,10.71,0,0
PJ-238,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,262.46,787372,0,26245,5249,0.0,5249,143,2,Maluku Utara,Sub-urban,Kemarau,115.2,7,19,42,16,234.34,3195,10.71,0,0
PJ-239,Perumahan,Swasta Nasional,Cost Plus,0,156.28,625108,78138,39069,0,0.0,3906,61,3,Nusa Tenggara Barat,Rural,Kemarau,105.43,2,8,34,14,139.53,3133,10.71,0,0
PJ-240,Gedung Perkantoran,Swasta Asing,Cost Plus,0,169.83,509502,0,16983,3396,0.0,3396,67,1,Kalimantan Utara,Rural,Hujan,110.01,2,20,27,69,151.64,3216,10.71,0,0
PJ-241,Jaringan IT,BUMN,Lump Sum,1,77.67,388341,0,0,0,116.5,3883,19,1,Kepulauan Riau,Urban,Kemarau,113.59,4,23,21,48,69.35,3152,10.71,0,0
PJ-242,Jaringan IT,Swasta Nasional,Harga Satuan,0,66.59,332974,0,0,0,99.89,3329,18,1,Kalimantan Selatan,Urban,Kemarau,106.78,4,10,20,72,59.46,2837,10.71,0,0
PJ-243,Gedung Perkantoran,Swasta Asing,Harga Satuan,0,67.63,202878,0,6762,1352,0.0,1352,45,2,Kalimantan Timur,Rural,Kemarau,104.85,7,6,11,14,60.38,4071,10.71,0,1
PJ-244,Gedung Perkantoran,Swasta Nasional,Lump Sum,0,178.59,535761,0,17858,3571,0.0,3571,73,3,Jambi,Urban,Kemarau,100.93,2,6,27,51,192.27,3382,-7.66,1,0
PJ-245,Jaringan IT,BUMN,Cost Plus,0,65.47,327345,0,0,0,98.2,3273,38,3,Jawa Tengah,Rural,Hujan,105.34,3,18,20,23,58.45,2789,10.71,0,0
PJ-246,Perumahan,BUMN,Lump Sum,1,148.4,593580,74197,37098,0,0.0,3709,78,1,Jambi,Sub-urban,Kemarau,117.49,2,16,33,24,132.5,3066,10.71,0,0
PJ-247,Jaringan IT,Pemda,Lump Sum,0,51.59,257942,0,0,0,77.38,2579,22,3,Sumatera Selatan,Rural,Kemarau,102.08,2,13,16,22,46.06,2747,10.71,0,0
PJ-248,Jaringan IT,Swasta Nasional,Harga Satuan,0,58.61,293029,0,0,0,87.91,2930,20,2,Papua Selatan,Urban,Hujan,108.93,5,20,17,46,52.33,2938,10.71,0,0
PJ-249,Jembatan,Swasta Asing,Lump Sum,1,1257.94,2515879,3773819,251587,12579,31.45,0,633,2,Kalimantan Timur,Rural,Hujan,102.64,8,8,126,69,1123.16,4397,10.71,0,1
PJ-250,Perumahan,BUMN,Harga Satuan,0,223.76,895038,111879,55939,0,0.0,5593,111,2,Nusa Tenggara Barat,Sub-urban,Hujan,110.02,7,23,46,66,229.18,3316,-2.42,1,0
PJ-251,Jaringan IT,BUMN,Harga Satuan,0,87.44,437208,0,0,0,131.16,4372,37,2,Sulawesi Selatan,Rural,Hujan,104.02,4,23,23,52,78.07,3240,10.71,0,0
PJ-252,Jembatan,Swasta Nasional,Harga Satuan,0,1932.52,3865045,5797568,386504,19325,48.31,0,969,4,Aceh,Urban,Hujan,103.05,4,4,194,72,1725.47,4171,10.71,0,1
PJ-253,Gedung Perkantoran,Pemda,Harga Satuan,0,243.34,730005,0,24333,4866,0.0,4866,135,2,Sumatera Utara,Rural,Kemarau,104.05,2,22,38,62,217.26,4337,10.71,0,1
PJ-254,Perumahan,BUMN,Harga Satuan,0,134.75,538986,67373,33686,0,0.0,3368,51,1,Sulawesi Barat,Rural,Kemarau,101.9,4,22,27,24,120.31,3402,10.71,0,0
PJ-255,Jaringan IT,Pemda,Cost Plus,0,40.21,201049,0,0,0,60.31,2010,30,1,Kepulauan Bangka Belitung,Sub-urban,Kemarau,117.77,3,10,11,49,35.9,3115,10.71,0,0
PJ-256,Gedung Perkantoran,Swasta Asing,Cost Plus,0,157.75,473236,0,15774,3154,0.0,3154,63,1,Jawa Timur,Sub-urban,Kemarau,103.31,4,14,25,65,140.84,4291,10.71,0,1
PJ-257,Jaringan IT,BUMN,Lump Sum,1,78.34,391694,0,0,0,117.51,3916,37,1,Kalimantan Timur,Rural,Hujan,101.34,9,17,23,10,69.95,2902,10.71,0,0
PJ-258,Jembatan,BUMN,Lump Sum,1,1463.85,2927694,4391541,292769,14638,36.6,0,713,5,Nusa Tenggara Timur,Urban,Kemarau,116.07,2,18,149,32,1307.01,3349,10.71,0,0
PJ-259,Perumahan,Pemda,Cost Plus,0,88.95,355807,44475,22237,0,0.0,2223,33,1,Gorontalo,Urban,Hujan,116.61,2,22,21,26,90.53,3298,-1.77,1,1
PJ-260,Perumahan,BUMN,Lump Sum,1,43.27,173071,21633,10816,0,0.0,1081,5,1,Papua,Sub-urban,Hujan,100.71,5,13,11,60,38.63,2681,10.71,0,0
PJ-261,Perumahan,Pemda,Cost Plus,0,120.73,482918,60364,30182,0,0.0,3018,46,2,Kalimantan Timur,Sub-urban,Kemarau,106.46,7,9,25,22,107.79,4423,10.71,0,1
PJ-262,Gedung Perkantoran,BUMN,Lump Sum,1,55.16,165468,0,5515,1103,0.0,1103,42,2,DI Yogyakarta,Rural,Hujan,116.26,9,7,9,57,49.25,3133,10.71,0,0
PJ-263,Jaringan IT,BUMN,Lump Sum,1,95.76,478812,0,0,0,143.64,4788,44,3,Sumatera Selatan,Rural,Kemarau,119.83,7,11,26,23,85.5,3139,10.71,0,0
PJ-264,Gedung Perkantoran,Swasta Asing,Lump Sum,0,231.59,694778,0,23159,4631,0.0,4631,115,2,Maluku Utara,Rural,Hujan,103.15,3,15,35,69,206.78,3815,10.71,0,1
PJ-265,Jaringan IT,BUMN,Lump Sum,1,67.18,335915,0,0,0,100.77,3359,42,1,Bali,Sub-urban,Kemarau,101.39,8,17,17,73,59.98,3368,10.71,0,0
PJ-266,Gedung Perkantoran,BUMN,Cost Plus,0,299.94,899827,0,29994,5998,0.0,5998,143,1,Papua Tengah,Sub-urban,Kemarau,107.38,8,8,48,28,325.99,3195,-8.68,1,0
PJ-267,Pabrik,BUMN,Cost Plus,0,376.52,941307,0,56478,15060,0.0,0,187,2,Sumatera Selatan,Sub-urban,Hujan,107.5,6,19,49,58,439.04,3274,-16.6,1,0
PJ-268,Gedung Perkantoran,Swasta Asing,Cost Plus,0,118.02,354052,0,11801,2360,0.0,2360,48,3,Kalimantan Barat,Rural,Kemarau,104.52,3,5,18,29,105.37,3352,10.71,0,0
PJ-269,Perumahan,Swasta Nasional,Lump Sum,1,161.83,647334,80916,40458,0,0.0,4045,79,3,Sulawesi Barat,Urban,Hujan,108.89,6,14,33,73,144.49,3343,10.71,0,0
PJ-270,Perumahan,BUMN,Harga Satuan,0,117.29,469167,58645,29322,0,0.0,2932,49,1,Riau,Sub-urban,Hujan,105.3,2,4,24,28,104.72,4126,10.71,0,1
PJ-271,Perumahan,Pemda,Harga Satuan,0,158.53,634104,79263,39631,0,0.0,3963,69,2,DKI Jakarta,Urban,Hujan,100.49,4,21,34,45,188.69,3178,-19.03,1,0
PJ-272,Jaringan IT,Pemda,Harga Satuan,0,69.57,347841,0,0,0,104.35,3478,44,2,Sulawesi Barat,Urban,Hujan,116.7,4,9,21,10,77.77,2823,-11.79,1,0
PJ-273,Gedung Perkantoran,BUMN,Cost Plus,0,189.3,567909,0,18930,3786,0.0,3786,111,1,Bali,Rural,Kemarau,111.49,5,16,32,11,217.59,3025,-14.94,1,0
PJ-274,Pabrik,Pemda,Harga Satuan,0,373.0,932505,0,55950,14920,0.0,0,188,3,DKI Jakarta,Sub-urban,Hujan,100.29,7,8,50,79,387.27,4010,-3.82,1,1
PJ-275,Gedung Perkantoran,Swasta Asing,Harga Satuan,0,152.29,456874,0,15229,3045,0.0,3045,79,1,Bali,Sub-urban,Hujan,104.3,8,5,26,25,162.22,4047,-6.52,1,1
PJ-276,Perumahan,Swasta Nasional,Cost Plus,0,168.8,675198,84399,42199,0,0.0,4219,86,1,Kalimantan Timur,Rural,Kemarau,102.11,5,24,37,65,150.71,4310,10.71,0,1
PJ-277,Gedung Perkantoran,Pemda,Harga Satuan,0,298.56,895690,0,29856,5971,0.0,5971,133,2,Banten,Sub-urban,Hujan,109.24,6,7,45,50,316.12,3392,-5.88,1,0
PJ-278,Gedung Perkantoran,Pemda,Lump Sum,1,208.55,625647,0,20854,4170,0.0,4170,91,2,Banten,Sub-urban,Hujan,107.55,4,15,33,21,223.55,3231,-7.19,1,0
PJ-279,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,101.26,303774,0,10125,2025,0.0,2025,56,1,Papua Barat Daya,Urban,Hujan,108.72,4,17,16,25,90.41,3236,10.71,0,0
PJ-280,Perumahan,Pemda,Lump Sum,0,213.18,852711,106588,53294,0,0.0,5329,91,1,Jawa Barat,Urban,Hujan,110.4,5,12,44,46,242.7,3303,-13.85,1,0
PJ-281,Perumahan,Swasta Nasional,Lump Sum,0,230.35,921384,115173,57586,0,0.0,5758,95,2,Papua,Sub-urban,Hujan,100.94,4,24,49,32,205.67,3205,10.71,0,0
PJ-282,Jaringan IT,Swasta Asing,Lump Sum,1,79.45,397269,0,0,0,119.18,3972,52,3,Sulawesi Utara,Sub-urban,Kemarau,109.66,3,8,23,53,70.94,2944,10.71,0,0
PJ-283,Pabrik,Swasta Nasional,Cost Plus,0,309.58,773941,0,46436,12383,0.0,0,173,2,Jawa Tengah,Urban,Hujan,104.09,9,6,39,17,276.41,3382,10.71,0,0
PJ-284,Jalan Tol,Pemda,Lump Sum,0,2977.96,5955925,8933887,595592,29779,74.45,0,1502,1,Sulawesi Tengah,Rural,Kemarau,116.53,3,8,300,32,2658.9,3384,10.71,0,0
PJ-285,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,154.16,462476,0,15415,3083,0.0,3083,79,3,Sumatera Selatan,Urban,Kemarau,116.25,7,13,24,57,137.64,3284,10.71,0,0
PJ-286,Jaringan IT,Pemda,Cost Plus,0,11.52,57582,0,0,0,17.27,575,-2,2,Sulawesi Tenggara,Urban,Hujan,116.39,4,22,4,62,10.28,2453,10.71,0,0
PJ-287,Jalan Tol,BUMN,Lump Sum,1,2641.48,5282967,7924451,528296,26414,66.04,0,1326,3,Aceh,Sub-urban,Hujan,108.87,4,21,266,16,2358.47,3385,10.71,0,0
PJ-288,Jaringan IT,Swasta Asing,Cost Plus,0,35.92,179618,0,0,0,53.89,1796,36,3,Gorontalo,Urban,Hujan,101.53,7,7,12,40,32.07,2551,10.71,0,0
PJ-289,Gedung Perkantoran,Pemda,Cost Plus,0,104.96,314869,0,10495,2099,0.0,2099,54,3,Papua Pegunungan,Urban,Kemarau,110.92,8,18,19,29,93.71,2824,10.71,0,0
PJ-290,Gedung Perkantoran,BUMN,Cost Plus,0,248.24,744712,0,24823,4964,0.0,4964,117,1,Gorontalo,Rural,Hujan,104.19,8,20,38,32,221.64,3340,10.71,0,0
PJ-291,Gedung Perkantoran,BUMN,Harga Satuan,0,111.14,333410,0,11113,2222,0.0,2222,44,2,Papua Barat,Sub-urban,Kemarau,106.87,9,11,19,17,99.23,2991,10.71,0,0
PJ-292,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,281.94,845832,0,28194,5638,0.0,5638,121,3,Jambi,Sub-urban,Hujan,118.4,9,5,44,71,303.19,4293,-7.54,1,1
PJ-293,Jembatan,Pemda,Lump Sum,1,682.36,1364716,2047074,136471,6823,17.06,0,335,4,Papua Selatan,Rural,Kemarau,101.05,6,19,69,66,609.25,4540,10.71,0,1
PJ-294,Jaringan IT,BUMN,Harga Satuan,0,45.65,228255,0,0,0,68.48,2282,12,3,Sulawesi Utara,Sub-urban,Kemarau,110.69,8,12,15,14,40.76,3528,10.71,0,1
PJ-295,Gedung Perkantoran,Swasta Asing,Harga Satuan,0,85.45,256339,0,8544,1708,0.0,1708,41,1,Jawa Barat,Sub-urban,Kemarau,111.57,5,7,15,17,76.29,2912,10.71,0,0
PJ-296,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,82.63,247899,0,8263,1652,0.0,1652,40,3,Riau,Rural,Hujan,107.58,7,8,16,69,73.78,3256,10.71,0,1
PJ-297,Gedung Perkantoran,Swasta Asing,Lump Sum,1,204.24,612710,0,20423,4084,0.0,4084,92,3,DI Yogyakarta,Urban,Hujan,102.36,9,23,34,12,182.35,3071,10.71,0,0
PJ-298,Perumahan,BUMN,Harga Satuan,0,208.73,834934,104366,52183,0,0.0,5218,86,2,Papua Barat,Rural,Kemarau,106.21,3,23,45,57,186.37,3162,10.71,0,0
PJ-299,Jaringan IT,Pemda,Harga Satuan,0,84.59,422944,0,0,0,126.88,4229,39,1,Sumatera Barat,Sub-urban,Hujan,118.28,3,17,25,74,75.53,2883,10.71,0,0
PJ-300,Perumahan,Swasta Asing,Lump Sum,0,205.14,820549,102568,51284,0,0.0,5128,101,3,Jambi,Rural,Hujan,100.54,2,7,42,17,205.9,3768,-0.37,1,1
PJ-301,Jembatan,Swasta Asing,Cost Plus,0,889.64,1779273,2668909,177927,8896,22.24,0,434,3,Aceh,Urban,Kemarau,111.82,3,20,92,19,794.32,3822,10.71,0,1
PJ-302,Gedung Perkantoran,Swasta Nasional,Lump Sum,0,69.4,208186,0,6939,1387,0.0,1387,41,2,Sulawesi Selatan,Urban,Hujan,109.04,6,16,12,41,61.96,4055,10.71,0,1
PJ-303,Pabrik,Pemda,Harga Satuan,0,154.69,386716,0,23202,6187,0.0,0,65,2,DI Yogyakarta,Urban,Hujan,114.55,3,11,20,49,138.11,3295,10.71,0,0
PJ-304,Jembatan,Swasta Asing,Lump Sum,0,866.57,1733133,2599699,173313,8665,21.66,0,432,2,Kalimantan Timur,Rural,Kemarau,103.17,7,7,90,15,773.72,3282,10.71,0,0
PJ-305,Jaringan IT,BUMN,Harga Satuan,0,66.02,330113,0,0,0,99.03,3301,39,1,Sumatera Barat,Rural,Kemarau,117.96,6,10,19,29,58.95,2961,10.71,0,0
PJ-306,Gedung Perkantoran,Swasta Nasional,Lump Sum,0,73.54,220608,0,7353,1470,0.0,1470,27,1,Sulawesi Tenggara,Rural,Hujan,111.22,4,12,13,64,65.66,2892,10.71,0,0
PJ-307,Jalan Tol,Pemda,Harga Satuan,0,2574.19,5148379,7722569,514837,25741,64.35,0,1296,5,Nusa Tenggara Timur,Sub-urban,Hujan,101.94,3,20,261,26,2562.68,4596,0.45,1,1
PJ-308,Perumahan,Swasta Nasional,Lump Sum,0,200.47,801865,100233,50116,0,0.0,5011,115,3,Lampung,Urban,Hujan,102.35,5,7,41,24,178.99,3333,10.71,0,0
PJ-309,Pabrik,BUMN,Lump Sum,0,278.5,696240,0,41774,11139,0.0,0,154,1,Kepulauan Bangka Belitung,Urban,Hujan,107.55,4,21,35,36,248.66,3390,10.71,0,0
PJ-310,Gedung Perkantoran,Pemda,Cost Plus,0,109.57,328717,0,10957,2191,0.0,2191,58,3,Sulawesi Utara,Urban,Hujan,112.24,7,24,18,24,97.83,3112,10.71,0,0
PJ-311,Gedung Perkantoran,Pemda,Cost Plus,0,243.72,731156,0,24371,4874,0.0,4874,106,1,Sulawesi Tenggara,Sub-urban,Kemarau,101.73,6,7,37,19,217.61,3368,10.71,0,0
PJ-312,Gedung Perkantoran,Pemda,Cost Plus,0,147.46,442389,0,14746,2949,0.0,2949,60,3,DI Yogyakarta,Sub-urban,Kemarau,108.19,2,9,25,48,131.66,3016,10.71,0,0
PJ-313,Gedung Perkantoran,Pemda,Lump Sum,0,108.96,326876,0,10895,2179,0.0,2179,52,3,Lampung,Urban,Kemarau,117.32,3,20,20,51,97.28,2785,10.71,0,0
PJ-314,Jaringan IT,BUMN,Harga Satuan,0,33.43,167126,0,0,0,50.14,1671,5,2,Sulawesi Selatan,Urban,Kemarau,110.46,7,13,12,44,29.84,2711,10.71,0,1
PJ-315,Jalan Tol,Swasta Asing,Cost Plus,0,578.15,1156306,1734459,115630,5781,14.45,0,306,1,Gorontalo,Rural,Hujan,114.33,7,20,60,35,516.21,3284,10.71,0,0
PJ-316,Perumahan,Pemda,Harga Satuan,0,149.02,596094,74511,37255,0,0.0,3725,80,3,Jambi,Rural,Hujan,110.19,7,5,33,73,155.11,4056,-4.09,1,1
PJ-317,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,219.55,658648,0,21954,4390,0.0,4390,105,2,DI Yogyakarta,Sub-urban,Hujan,107.45,6,17,34,42,196.03,4594,10.71,0,1
PJ-318,Jembatan,Swasta Nasional,Harga Satuan,0,1760.27,3520543,5280815,352054,17602,44.01,0,869,1,Sulawesi Tengah,Sub-urban,Kemarau,112.48,8,3,178,63,1571.67,4366,10.71,0,1
PJ-319,Gedung Perkantoran,Swasta Asing,Lump Sum,0,68.49,205470,0,6849,1369,0.0,1369,52,1,DKI Jakarta,Rural,Hujan,103.03,7,18,13,70,61.15,2694,10.71,0,0
PJ-320,Jaringan IT,BUMN,Lump Sum,1,62.4,312007,0,0,0,93.6,3120,18,2,Sulawesi Tengah,Urban,Kemarau,110.57,2,22,18,74,55.72,3531,10.71,0,1
PJ-321,Perumahan,Pemda,Harga Satuan,0,130.26,521033,65129,32564,0,0.0,3256,63,3,Aceh,Sub-urban,Kemarau,100.97,3,3,29,74,116.3,3786,10.71,0,1
PJ-322,Pabrik,Swasta Nasional,Harga Satuan,0,487.45,1218636,0,73118,19498,0.0,0,248,3,Kalimantan Tengah,Sub-urban,Hujan,114.99,8,13,63,57,435.23,3297,10.71,0,0
PJ-323,Jaringan IT,BUMN,Cost Plus,0,53.96,269805,0,0,0,80.94,2698,37,1,Sulawesi Tengah,Rural,Kemarau,107.78,8,19,15,59,58.01,3065,-7.5,1,0
PJ-324,Gedung Perkantoran,Swasta Asing,Cost Plus,0,233.58,700751,0,23358,4671,0.0,4671,106,1,Papua Tengah,Rural,Kemarau,116.54,3,12,36,42,208.56,3317,10.71,0,0
PJ-325,Perumahan,Pemda,Harga Satuan,0,224.37,897480,112185,56092,0,0.0,5609,97,2,Aceh,Urban,Kemarau,110.04,3,20,47,17,256.82,3254,-14.46,1,0
PJ-326,Gedung Perkantoran,Swasta Asing,Cost Plus,0,285.21,855637,0,28521,5704,0.0,5704,132,3,Sumatera Selatan,Urban,Kemarau,112.58,8,19,44,38,293.89,3960,-3.04,1,1
PJ-327,Perumahan,Pemda,Cost Plus,0,241.46,965842,120730,60365,0,0.0,6036,124,3,Jawa Tengah,Sub-urban,Hujan,119.89,5,24,50,38,215.59,3292,10.71,0,0
PJ-328,Jembatan,BUMN,Cost Plus,0,2917.65,5835306,8752959,583530,29176,72.94,0,1460,4,Jawa Timur,Sub-urban,Hujan,117.66,6,12,292,58,2605.05,3406,10.71,0,0
PJ-329,Jembatan,BUMN,Lump Sum,1,2504.32,5008638,7512957,500863,25043,62.61,0,1256,1,Papua Selatan,Rural,Hujan,117.32,7,18,252,52,2236.0,3387,10.71,0,0
PJ-330,Jalan Tol,Swasta Asing,Lump Sum,1,2791.94,5583876,8375815,558387,27919,69.8,0,1389,1,Sulawesi Tengah,Urban,Hujan,118.14,5,24,282,70,2492.8,3375,10.71,0,0
PJ-331,Gedung Perkantoran,Swasta Asing,Cost Plus,0,279.43,838281,0,27942,5588,0.0,5588,120,2,Bali,Sub-urban,Hujan,108.7,8,4,44,28,249.49,3247,10.71,0,0
PJ-332,Pabrik,Swasta Asing,Harga Satuan,0,382.84,957104,0,57426,15313,0.0,0,195,2,Sumatera Barat,Rural,Hujan,114.97,7,8,49,72,341.82,4430,10.71,0,1
PJ-333,Jalan Tol,Swasta Nasional,Cost Plus,0,2203.28,4406564,6609847,440656,22032,55.08,0,1120,1,Kalimantan Tengah,Urban,Hujan,106.73,3,5,221,46,1967.22,3398,10.71,0,0
PJ-334,Jaringan IT,Swasta Nasional,Cost Plus,0,66.87,334360,0,0,0,100.31,3343,34,2,Aceh,Rural,Kemarau,115.46,5,7,18,34,59.71,3166,10.71,0,0
PJ-335,Perumahan,Pemda,Lump Sum,0,199.52,798091,99761,49880,0,0.0,4988,107,1,Sulawesi Selatan,Rural,Kemarau,114.03,9,10,42,10,178.15,3239,10.71,0,0
PJ-336,Gedung Perkantoran,Swasta Nasional,Lump Sum,0,150.06,450189,0,15006,3001,0.0,3001,62,2,Nusa Tenggara Barat,Rural,Kemarau,117.92,8,11,25,19,133.98,3069,10.71,0,0
PJ-337,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,294.5,883490,0,29449,5889,0.0,5889,138,1,Jawa Tengah,Sub-urban,Kemarau,112.55,6,20,46,35,262.94,4356,10.71,0,1
PJ-338,Perumahan,BUMN,Cost Plus,0,148.25,593004,74125,37062,0,0.0,3706,75,1,Riau,Rural,Kemarau,105.72,2,6,30,76,132.37,3844,10.71,0,1
PJ-339,Perumahan,Swasta Nasional,Lump Sum,0,92.13,368534,46066,23033,0,0.0,2303,44,3,Sulawesi Utara,Urban,Kemarau,108.91,8,16,19,28,82.26,3306,10.71,0,0
PJ-340,Gedung Perkantoran,BUMN,Cost Plus,0,128.75,386259,0,12875,2575,0.0,2575,45,2,Maluku,Rural,Hujan,107.47,8,6,20,36,139.59,4005,-8.41,1,1
PJ-341,Jalan Tol,Swasta Asing,Harga Satuan,0,757.39,1514785,2272177,151478,7573,18.93,0,394,1,Papua,Sub-urban,Kemarau,105.07,6,10,79,50,676.24,4533,10.71,0,1
PJ-342,Gedung Perkantoran,Swasta Asing,Cost Plus,0,219.5,658497,0,21949,4389,0.0,4389,98,3,Nusa Tenggara Timur,Sub-urban,Hujan,107.98,2,21,36,78,195.98,3648,10.71,0,1
PJ-343,Pabrik,BUMN,Cost Plus,0,293.8,734501,0,44070,11752,0.0,0,151,3,Nusa Tenggara Barat,Rural,Hujan,104.14,4,23,38,60,262.32,3294,10.71,0,0
PJ-344,Jalan Tol,Swasta Nasional,Cost Plus,0,2764.1,5528208,8292313,552820,27641,69.1,0,1383,5,Jawa Timur,Rural,Hujan,101.12,4,17,280,54,3136.6,4134,-13.48,1,1
PJ-345,Gedung Perkantoran,Pemda,Harga Satuan,0,164.97,494916,0,16497,3299,0.0,3299,71,3,Kalimantan Utara,Sub-urban,Kemarau,114.85,4,16,27,14,147.3,3124,10.71,0,0
PJ-346,Jaringan IT,Swasta Asing,Harga Satuan,0,40.6,202997,0,0,0,60.9,2029,27,2,Sumatera Selatan,Sub-urban,Hujan,109.81,7,20,11,32,48.11,3145,-18.49,1,0
PJ-347,Perumahan,Swasta Nasional,Harga Satuan,0,77.37,309497,38687,19343,0,0.0,1934,28,1,Jawa Timur,Sub-urban,Hujan,109.64,8,20,17,74,69.08,3103,10.71,0,0
PJ-348,Jaringan IT,Swasta Asing,Harga Satuan,0,74.22,371097,0,0,0,111.33,3710,23,1,Jambi,Sub-urban,Hujan,110.42,8,16,22,24,66.27,2875,10.71,0,0
PJ-349,Jalan Tol,Swasta Asing,Lump Sum,0,1356.3,2712592,4068889,271259,13562,33.91,0,677,2,Papua,Sub-urban,Kemarau,114.71,9,17,136,51,1210.98,3399,10.71,0,0
PJ-350,Pabrik,Pemda,Harga Satuan,0,542.55,1356375,0,81382,21702,0.0,0,271,1,Gorontalo,Sub-urban,Kemarau,108.38,9,18,69,19,484.42,3350,10.71,0,0
PJ-351,Perumahan,BUMN,Lump Sum,1,146.21,584823,73102,36551,0,0.0,3655,92,2,Jawa Timur,Sub-urban,Hujan,111.23,3,5,32,33,130.54,4348,10.71,0,1
PJ-352,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,71.57,214724,0,7157,1431,0.0,1431,24,1,Kalimantan Tengah,Rural,Kemarau,100.54,6,6,12,75,63.91,3050,10.71,0,0
PJ-353,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,278.15,834453,0,27815,5563,0.0,5563,135,2,Papua,Sub-urban,Kemarau,113.98,4,8,43,76,248.35,4173,10.71,0,1
PJ-354,Jaringan IT,Pemda,Harga Satuan,0,65.12,325607,0,0,0,97.68,3256,48,3,Sulawesi Tengah,Urban,Hujan,107.36,5,24,18,66,58.14,3083,10.71,0,0
PJ-355,Jaringan IT,Pemda,Lump Sum,1,74.46,372300,0,0,0,111.69,3723,56,3,Papua Pegunungan,Rural,Kemarau,113.09,9,21,22,51,66.48,2884,10.71,0,0
PJ-356,Jaringan IT,BUMN,Harga Satuan,0,89.37,446840,0,0,0,134.05,4468,45,2,DKI Jakarta,Rural,Kemarau,103.02,4,3,24,23,79.79,3173,10.71,0,0
PJ-357,Jalan Tol,Pemda,Lump Sum,1,973.66,1947318,2920977,194731,9736,24.34,0,496,3,Maluku,Sub-urban,Kemarau,104.36,6,23,99,35,869.34,3827,10.71,0,1
PJ-358,Jembatan,Pemda,Harga Satuan,0,1449.23,2898461,4347691,289846,14492,36.23,0,737,1,Sulawesi Selatan,Sub-urban,Hujan,112.57,4,17,145,55,1293.96,4590,10.71,0,1
PJ-359,Perumahan,BUMN,Harga Satuan,0,112.76,451052,56381,28190,0,0.0,2819,71,2,Jawa Tengah,Urban,Kemarau,118.68,3,10,23,15,100.68,4340,10.71,0,1
